index,topic,label,length,sentiment,content
0,Undefined,0,98,neutral,"Most canned pumpkin isn't actually pumpkin, but a mixture of other squashes (including butternut)."
1,Undefined,0,121,negative,"An elementary school in Fresno, California, forced a third-grader to remove a cap bearing Donald Trump's campaign slogan."
2,Undefined,0,79,positive,A resident of East Texas shared his opinion of the Black Lives Matter movement.
3,Undefined,0,98,positive,Budweiser is giving away a free beer to people who can prove they are vaccinated against COVID-19.
4,Undefined,0,97,negative,Joshua Wilkerson was murdered by an immigrant who was staying in the U.S. due to the DACA policy.
5,Undefined,0,95,neutral,A video shows worms found by a consumer inside the candy wrappers of Ferrero Rocher chocolates.
6,Undefined,0,110,positive,President Obama banned Christmas trees and the phrase 'Merry Christmas' from Veterans Affairs (VA) facilities.
7,Undefined,0,291,negative,"Regarding what he would do if he disagreed with Vice President-elect Kamala Harris, U.S. President-elect Joe Biden said: 'Like I told Barack, if I reach something where there's a fundamental disagreement we have based on a moral principle, I'll develop some disease and say I have to resign."
8,Undefined,0,100,negative,"Indiana Jones, portrayed by Harrison Ford, once defeated a group of villains by playing a saxophone."
9,Undefined,0,174,positive,"In late August 2021, a rogue team of U.S. veterans banded together to go behind President Joe Biden's back and rescue Afghan allies in an operation dubbed 'Pineapple Express."
10,Undefined,0,92,negative,Nathan Phillips falsely claimed to be a U.S. military veteran who served in the Vietnam War.
11,Undefined,0,88,neutral,President Joe Biden said that minorities don't know how to register online for vaccines.
12,Undefined,0,95,negative,"UPS lost a family's $846,000 inheritance check but would only refund them the $32 shipping fee."
13,Undefined,0,195,neutral,"An optical illusion allows a 3D arrow to appear as if it is always pointing in the same direction (with its mirror reflection showing the opposite direction), even when it is rotated 180 degrees."
14,Undefined,0,120,neutral,A photograph shows U.S. President Joe Biden with several children wearing memorabilia for former President Donald Trump.
15,Undefined,0,62,negative,Warmer weather will inhibit the spread of the new coronavirus.
16,Undefined,0,117,negative,Donald Trump mentioned 'seven eleven' rather than 'nine eleven' when referring to the September 11 terrorist attacks.
17,Undefined,0,79,neutral,A photograph shows a man on a beach near a mountain that resembles his outline.
18,Undefined,0,107,positive,U.S. President Bill Clinton launched an airstrike on Iraq amid impeachment proceedings against him in 1998.
19,Undefined,0,134,positive,The Trump administration made immigrants pay $800 for DNA tests in order to get back children taken under its 'zero tolerance' policy.
20,Undefined,0,80,neutral,A list dispels 'falsehoods and inaccuracies of Confederate and Southern history.
21,Undefined,0,134,neutral,"In mid-September 2021, the National Health Service in England announced the world's first trial for a new cancer-detecting blood test."
22,Undefined,0,86,negative,A woman narrowly escaped an abduction attempt at the Coon Rapids Walmart in Minnesota.
23,Undefined,0,65,neutral,Putting a Ziplock bag over a car mirror has a legitimate purpose.
24,Undefined,0,107,neutral,"There is a secret card hidden in the 'Bigger, Blacker Box' edition of the Cards Against Humanity card game."
25,Undefined,0,92,positive,"Google donated $500,000 to the Black Lives Matter organization to fund an 'anti-police' app."
26,Undefined,0,160,negative,"There was a giant mass shooting at Bunny Friend Playground in New Orleans on 22 November 2015, but the media ignored the incident because the suspect was black."
27,Undefined,0,96,negative,Senator Richard Blumenthal misrepresented his record of military service during the Vietnam War.
28,Undefined,0,104,negative,"A photograph shows Rudy Giuliani with Jake Angeli, who took part in the U.S. Capitol riot wearing horns."
29,Undefined,0,64,negative,President Trump has called for the death penalty for pedophiles.
30,Undefined,0,102,positive,In May 2017 President Trump launched a monthly 'Big League Box' subscription for campaign merchandise.
31,Undefined,0,103,neutral,Fox News host Tucker Carlson was listed as a member of the 'Dan White Society' in his college yearbook.
32,Undefined,0,134,negative,"The image depicts a leaked 'White House catering' sheet requiring Mountain Dew, Hungry Man dinners, and framed Electoral College maps."
33,Undefined,0,144,positive,"In early 2021, the Biden administration was 'recklessly releasing' hundreds of migrants who tested positive for COVID-19 into Texas communities."
34,Undefined,0,61,neutral,Manatees regulate their in-water buoyancy through flatulence.
35,Undefined,0,220,negative,"A Black man was charged in North Carolina in the killing of Cannon Hinnant, a 5-year-old white boy, and except for Fox News, mainstream news media outlets purposely ignored it to further a predetermined racial narrative."
36,Undefined,0,75,neutral,A photograph shows a long line of climbers waiting to ascend Mount Everest.
37,Undefined,0,69,neutral,A photograph of breast milk under a microscope appears glittery gold.
38,Undefined,0,89,negative,The Tim Allen show 'Last Man Standing' was cancelled due to the star's political beliefs.
39,Undefined,0,102,neutral,President Donald Trump was using an anti-Semitic slur when he called NBC host Chuck Todd 'sleepy eyes.
40,Undefined,0,107,positive,Sen. Ted Cruz's campaign has sent fundraising letters with an envelope made up to resemble a legal summons.
41,Undefined,0,74,negative,A couple sued Planned Parenthood for child support over a failed abortion.
42,Undefined,0,58,neutral,A NASA photograph shoes actual blue-colored dunes on Mars.
43,Undefined,0,136,neutral,The reservoir of Three Gorges Dam in China can retain an amount of water voluminous enough to slow and change the rotation of the Earth.
44,Undefined,0,122,negative,"Donald Trump 'bankrupted' a golf course in Puerto Rico, leaving taxpayers there on the hook for $33 million worth of debt."
45,Undefined,0,95,negative,A Facebook message requesting Christmas cards for 8-year-old burn victim Safyre Terry is legit.
46,Undefined,0,81,neutral,"Coverage under Obamacare can costs more than $1,200 a month for a family of four."
47,Undefined,0,197,neutral,"Patients can circumvent insurance company claim denials by requesting a specific form of documentation, as the insurance company will opt to simply cover the cost rather than provide the paperwork."
48,Undefined,0,78,negative,Attorney General Jeff Sessions has investments in the private prison industry.
49,Undefined,0,74,negative,A video shows two people waving guns at protesters in front of their home.
50,Undefined,0,115,neutral,"Hillary Clinton's first name was spelled 'Hilliary' on election ballots printed for use in Lonoke County, Arkansas."
51,Undefined,0,109,negative,First Lady Melania Trump again copied words from Michelle Obama while denouncing violence in Charlottesville.
52,Undefined,0,111,positive,The phone number 1-866-211-9966 connects callers with the United Way's COVID-19 Community Economic Relief Fund.
53,Undefined,0,161,positive,The volume of Americans researching the details of immigrating to Canada was so high on Super Tuesday that it temporarily crashed the country's immigration site.
54,Undefined,0,94,negative,University of Missouri (Mizzou) hunger strike participant Jonathan Butler is secretly wealthy.
55,Undefined,0,101,negative,A prankster changed the name of Trump Tower to Dump Tower in Google Maps briefly on 26 November 2016.
56,Undefined,0,87,neutral,A 17-year-old girl named Alyssa Carson is being trained by NASA to become an astronaut.
57,Undefined,0,199,positive,"David Hogg stated that he believes that the enforced use of clear backpacks in school constitutes a violation of students' First Amendment rights, but he favors the abolition of the Second Amendment."
58,Undefined,0,165,positive,The Justice Department offered Hillary Clinton a plea deal in mid-2017 after reopening an investigation into her handling of classified material on a private server.
59,Undefined,0,58,neutral,Cheap soy sauce is made from the hair of Chinese convicts.
60,Undefined,0,100,positive,Foam 'Squishies' toys have been determined to contain toxic materials and were recalled as a result.
61,Undefined,0,96,positive,"Eric Trump declared that his father, U.S. President Donald Trump, 'literally saved Christianity."
62,Undefined,0,106,negative,Socialist teachers at South Charlotte Middle School put the message 'Fuck Kavanaugh' on the school's sign.
